251000
1692,先,5583
2863,问,5561
75,包,5547
95,热情,5530
1218,终于,5515
117,地,5479
371,分钟,5445
387,些,5441
1866,完全,5438
157,当然,5430
441,分,5425
38,各,5421
2434,一些,5408
386,干净,5408
241,聚会,5402
1786,单,5382
1880,奶油,5378
866,正宗,5375
524,可,5352
58,鲶鱼,5338
1212,价钱,5325
1332,她,5303
113,牛蛙,5302
985,早,5281
511,久,5236
150,完,5208
238,水煮,5174
4685,奶茶,5172
407,时,5159
921,不少,5147
2414,果然,5117
2049,炒,5091
128,同学,5067
1360,羊肉,5065
2394,好喝,5057
358,直接,5053
1355,貌似,5047
271,道,5038
351,水果,5000
1879,有点小,4993
602,打,4982
630,吵,4980
1277,不用,4955
199,桌子,4930
667,方便,4905
503,甜甜,4886
237,品种,4885
1650,老公,4878
1430,找,4864
1492,样子,4863
977,全,4860
248,帮,4855
1153,别的,4824
143,菜品,4822
504,脆,4816
224,年,4814
171,昨天,4805
99,点菜,4800
2042,皮,4792
727,免费,4774
90,名字,4773
60,为什么,4767
97,提前,4761
290,舒服,4756
1578,需要,4748
1586,于是,4712
1233,配,4702
235,人多,4691
694,旁边,4658
741,新,4641
1425,总之,4626
838,却,4615
1432,走,4598
920,长,4598
480,芒果,4586
2833,浓,4563
83,吃过,4545
736,左右,4519
942,主要,4508
725,打包,4503
987,号,4497
1615,料,4450
640,干,4446
7265,普通,4411
4313,靠,4356
6360,鸡翅,4355
1349,肯定,4354
3232,精致,4352
21,旺,4345
1506,建议,4342
584,最近,4290
2389,附近,4283
6333,刺身,4275
6848,拼盘,4251
1788,以为,4240
886,公司,4233
1550,试试,4227
650,优惠券,4220
1753,换,4218
2157,倒是,4216
11,希望,4208
444,好几,4200
2173,座位,4195
3064,想象,4190
809,米,4175
521,食物,4166
581,土豆,4156
300,客人,4156
1393,连,4145
992,折,4142
275,不如,4133
738,么,4114
597,店里,4111
826,虾仁,4111
245,开心,4099
7,机会,4091
1758,特别是,4074
1513,相当,4072
14809,锅底,4060
301,酸,4053
2030,不好吃,4050
2891,牛,4044
144,分量,4041
782,竟然,4040
573,点了,4005
517,订,3996
1273,年糕,3985
2135,自助,3978
